group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSW,cip+cro,0.1,0.025,0.05,7.8525491147656306,-126.73566718673128,154.12959229685717,CIP+CRO
MSW,cip+cro+nda,0.1,0.025,0.05,7.985220419942579,-135.7962161951076,159.29215483190947,CIP+CRO+NDA
MSW,cip,0.1,0.05,0.05,18.96845773553749,-130.66914584436734,173.81165545434942,CIP
MSW,cip+cro,0.1,0.05,0.05,21.574416028643014,-119.8845457400422,160.9182573481118,CIP+CRO
MSW,cip+cro+nda,0.1,0.05,0.05,17.896018674781793,-120.62321181004891,154.04501699083224,CIP+CRO+NDA
MSW,cip,0.1,0.075,0.05,19.225940748583007,-118.77317558214384,161.1123698353967,CIP
MSW,cip+cro,0.1,0.075,0.05,19.223882706148327,-127.9419955296239,160.0912575592166,CIP+CRO
MSW,cip+cro+nda,0.1,0.075,0.05,20.51807747782128,-124.12816625599808,163.64864225230392,CIP+CRO+NDA
MSW,cip,0.1,0.1,0.05,34.4635695244308,-105.279941391316,186.44517348282255,CIP
MSW,cip+cro,0.1,0.1,0.05,32.250595138181716,-101.36105008572251,166.01233872415222,CIP+CRO
MSW,cip+cro+nda,0.1,0.1,0.05,30.09896204626248,-111.22660619515955,177.3246888691713,CIP+CRO+NDA
MSW,cip,0.1,0.125,0.05,38.99563636082646,-109.55824807334952,181.8605542036669,CIP
MSW,cip+cro,0.1,0.125,0.05,40.01212313208132,-101.7569180146965,176.0673945702837,CIP+CRO
MSW,cip+cro+nda,0.1,0.125,0.05,41.989729100011516,-115.553510579077,193.37595353464224,CIP+CRO+NDA
MSW,cip,0.1,0.15,0.05,43.21805220944972,-98.15342220867542,196.68699118685143,CIP
MSW,cip+cro,0.1,0.15,0.05,49.88665353345994,-85.71257717653106,199.72058787990335,CIP+CRO
MSW,cip+cro+nda,0.1,0.15,0.05,49.67726809741545,-91.6517912962584,188.54403864179938,CIP+CRO+NDA
MSW,cip,0.3,0,0.05,0.8628986492684017,-147.65773777686323,145.93393518968048,CIP
MSW,cip+cro,0.3,0,0.05,-2.4980346302689327,-132.95801083382602,129.22483639206632,CIP+CRO
MSW,cip+cro+nda,0.3,0,0.05,2.6923078192953818,-132.01277896286803,139.22524138012304,CIP+CRO+NDA
MSW,cip,0.3,0.025,0.05,3.092871886654092,-141.88346370718406,156.13550842766261,CIP
MSW,cip+cro,0.3,0.025,0.05,5.770740862230608,-132.53699545994527,138.17280721432192,CIP+CRO
MSW,cip+cro+nda,0.3,0.025,0.05,9.266075997920636,-131.8501031140977,160.29649435995998,CIP+CRO+NDA
MSW,cip,0.3,0.05,0.05,8.069015336082513,-128.91232070097576,153.85937003999416,CIP
MSW,cip+cro,0.3,0.05,0.05,13.267963838362778,-124.13535701138548,152.72135908625214,CIP+CRO
MSW,cip+cro+nda,0.3,0.05,0.05,15.933964207960166,-126.93737390721247,156.75359859908906,CIP+CRO+NDA
MSW,cip,0.3,0.075,0.05,17.689463297502453,-113.89889748932767,163.40090511583037,CIP
MSW,cip+cro,0.3,0.075,0.05,24.83066493252492,-108.51612858394104,163.97198065051924,CIP+CRO
MSW,cip+cro+nda,0.3,0.075,0.05,26.464434158210512,-117.2417909262127,172.9694602622278,CIP+CRO+NDA
MSW,cip,0.3,0.1,0.05,18.091383198690494,-106.38611081319681,157.51806535187808,CIP
MSW,cip+cro,0.3,0.1,0.05,23.36536046458453,-136.7795628721263,170.44770539473467,CIP+CRO
MSW,cip+cro+nda,0.3,0.1,0.05,32.73318704001142,-99.86641323583011,184.8971949612956,CIP+CRO+NDA
