group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSM,cip+cro,0.7,0.125,0,24.480248244306896,13.508223611688813,35.611360006350736,CIP+CRO
MSM,cip+cro+nda,0.7,0.125,0,24.404927143892163,13.604958879664052,35.28964369166488,CIP+CRO+NDA
MSM,cip,0.7,0.125,0.05,8.486197193104642,3.9693968412106595,13.61793442012022,CIP
MSM,cip+cro,0.7,0.125,0.05,23.44081639640946,13.367395371374611,33.72652165323743,CIP+CRO
MSM,cip+cro+nda,0.7,0.125,0.05,24.248486675480855,13.847331293189864,35.32551478535554,CIP+CRO+NDA
MSM,cip,0.7,0.15,0,10.229683851504886,5.159622077665674,15.684379252577013,CIP
MSM,cip+cro,0.7,0.15,0,29.851459994046685,16.781521657942598,42.12280987940227,CIP+CRO
MSM,cip+cro+nda,0.7,0.15,0,29.781124196448395,16.490558829421047,42.48575703617948,CIP+CRO+NDA
MSM,cip,0.7,0.15,0.05,10.28333966098844,5.456235591160721,15.667278323706489,CIP
MSM,cip+cro,0.7,0.15,0.05,28.204208955378277,15.161536646196629,39.612761810959206,CIP+CRO
MSM,cip+cro+nda,0.7,0.15,0.05,30.01492305379939,17.98936290436182,41.82128361706564,CIP+CRO+NDA
MSW,cip,0.1,0,0,0.3107262757847564,-1.2907293401939224,0.9961475480087884,CIP
MSW,cip+cro,0.1,0,0,0.17737781889103274,-1.534730417363901,0.9512335911143315,CIP+CRO
MSW,cip+cro+nda,0.1,0,0,0.1973373088811367,-1.462886953560403,0.9512954665017362,CIP+CRO+NDA
MSW,cip,0.1,0,0.05,0.3219347834532531,-1.485457206453125,0.9934095334632415,CIP
MSW,cip+cro,0.1,0,0.05,0.12247161202794045,-1.6966365437672248,0.9420762806995746,CIP+CRO
MSW,cip+cro+nda,0.1,0,0.05,0.17743925392849613,-1.459801839067213,0.9696415346223024,CIP+CRO+NDA
MSW,cip,0.1,0.025,0,7.467609521764715,2.667465210914082,14.025236739303065,CIP
MSW,cip+cro,0.1,0.025,0,8.096382248995841,2.890641073808791,15.339175010780593,CIP+CRO
MSW,cip+cro+nda,0.1,0.025,0,8.114500489483705,3.051397484186725,15.564829108711793,CIP+CRO+NDA
MSW,cip,0.1,0.025,0.05,7.179930327843216,2.660682532712909,13.0306616697482,CIP
MSW,cip+cro,0.1,0.025,0.05,7.700953211008227,2.7131463104449223,14.6758088669701,CIP+CRO
MSW,cip+cro+nda,0.1,0.025,0.05,8.070222903990619,3.0536023638141194,15.329245339049946,CIP+CRO+NDA
MSW,cip,0.1,0.05,0,14.624622248794825,7.3592008321276285,24.298848008172758,CIP
MSW,cip+cro,0.1,0.05,0,15.565516201773104,7.5398510445598035,25.57956103110229,CIP+CRO
MSW,cip+cro+nda,0.1,0.05,0,15.978784190274986,7.859749432644833,25.81761534504596,CIP+CRO+NDA
MSW,cip,0.1,0.05,0.05,14.388775042942592,6.6875921425273965,24.382530412122524,CIP
MSW,cip+cro,0.1,0.05,0.05,15.580495066409403,7.852261534723403,25.381005208103016,CIP+CRO
MSW,cip+cro+nda,0.1,0.05,0.05,15.93232279374187,7.8183132752871884,25.262703223256093,CIP+CRO+NDA
MSW,cip,0.1,0.075,0,21.54104663177365,11.824541319887595,33.16834903454333,CIP
MSW,cip+cro,0.1,0.075,0,23.66114417441199,12.844256143372894,36.78555986380748,CIP+CRO
MSW,cip+cro+nda,0.1,0.075,0,23.612053184282928,12.626460637744742,36.74392475228412,CIP+CRO+NDA
MSW,cip,0.1,0.075,0.05,21.709168116299985,12.630610776961264,33.99882510008119,CIP
MSW,cip+cro,0.1,0.075,0.05,23.70128868407245,13.398565691312971,35.662560430592514,CIP+CRO
MSW,cip+cro+nda,0.1,0.075,0.05,23.693709355870794,13.260714488151315,36.201576025191315,CIP+CRO+NDA
