cip_res,cro_res,nda_res,strategy,threshold_price,threshold_lower,threshold_upper
0.3,0.075,0,CIP,16.2923139401618,11.102281232679593,22.253594281898007
0.3,0.075,0,CIP+CRO,21.839533452111038,15.248240516493581,29.459864406407355
0.3,0.075,0,CIP+CRO+NDA,21.93227596879716,15.243873940929674,29.917237010368297
0.3,0.075,0.05,CIP,16.259912976072567,10.974470091499944,22.75303566376132
0.3,0.075,0.05,CIP+CRO,21.524816060598475,14.587348268530363,29.29768930751658
0.3,0.075,0.05,CIP+CRO+NDA,21.856669734884058,15.11880248358572,30.19409666197047
0.3,0.1,0,CIP,21.647542195151125,14.827240646744485,29.19319449800391
0.3,0.1,0,CIP+CRO,29.24190200405745,20.918079457161035,39.09649213500659
0.3,0.1,0,CIP+CRO+NDA,29.68207215186293,20.970896866202203,39.22006527484164
0.3,0.1,0.05,CIP,21.68507179442285,14.807838749422688,29.530336277149384
0.3,0.1,0.05,CIP+CRO,28.883940581513485,20.892800774976642,37.832721456553635
0.3,0.1,0.05,CIP+CRO+NDA,29.17480750074223,20.70732500459126,37.9823688702349
0.3,0.125,0,CIP,27.393011785733744,19.647196579332853,36.21991008172086
0.3,0.125,0,CIP+CRO,36.867094058307735,27.079205709390937,48.49473067892464
0.3,0.125,0,CIP+CRO+NDA,37.09913777716721,27.49932493799052,47.425416892956356
0.3,0.125,0.05,CIP,27.291981856701355,19.919850544020676,35.48310260842771
0.3,0.125,0.05,CIP+CRO,36.08308172519557,26.830838206637132,45.93524562173244
0.3,0.125,0.05,CIP+CRO+NDA,37.25929940748531,27.54005686784607,48.064459102496784
0.3,0.15,0,CIP,32.91582163697716,24.148134992213866,41.84552718287754
0.3,0.15,0,CIP+CRO,44.84606591389188,32.810991195169194,56.45126938089681
0.3,0.15,0,CIP+CRO+NDA,44.59780951768826,33.39888508216293,57.49688083931952
0.3,0.15,0.05,CIP,33.03567173610085,24.24621050970717,42.346380129939604
0.3,0.15,0.05,CIP+CRO,43.968057512543346,32.81541267751135,55.63476774870915
0.3,0.15,0.05,CIP+CRO+NDA,44.518048185215285,33.77904519908458,56.83663464768489
0.5,0,0,CIP,-1.1006452408403116,-2.7157395530040147,-0.010010335171698763
0.5,0,0,CIP+CRO,-1.7980808322090926,-3.5031426741998257,-0.5882163781874274
0.5,0,0,CIP+CRO+NDA,-1.7660766056186272,-3.6278000332294766,-0.5244959846796222
0.5,0,0.05,CIP,-1.11970047167482,-3.0372495770278003,0.0700423566456938
0.5,0,0.05,CIP+CRO,-1.9660867013522492,-4.015661818751979,-0.629821730413936
0.5,0,0.05,CIP+CRO+NDA,-1.7915710003861978,-3.7201749455852875,-0.5357121467416539
0.5,0.025,0,CIP,2.8743390621489513,0.166366805761974,5.808493982720624
0.5,0.025,0,CIP+CRO,5.420426628448516,1.9913891539186375,9.765719087439718
0.5,0.025,0,CIP+CRO+NDA,5.553947867171023,2.038783551389499,9.7685744983132
0.5,0.025,0.05,CIP,2.8006890728160196,0.03555331265294905,5.917833403096171
0.5,0.025,0.05,CIP+CRO,5.103818708634949,1.9361208734971407,8.954988386574305
0.5,0.025,0.05,CIP+CRO+NDA,5.487639687298854,1.937965386025304,9.656668998260363
0.5,0.05,0,CIP,6.957999482468049,3.344282624308079,11.138765259480811
0.5,0.05,0,CIP+CRO,12.58197505493873,7.271205133362458,18.221473503326195
0.5,0.05,0,CIP+CRO+NDA,12.708491993919758,7.611256915154612,18.50076887884536
0.5,0.05,0.05,CIP,6.728361210577629,3.029489695360861,11.358680276988995
0.5,0.05,0.05,CIP+CRO,12.09276190639955,6.979500898325824,17.936140752426958
0.5,0.05,0.05,CIP+CRO+NDA,12.87936440797571,7.733930069739792,18.61637218552605
0.5,0.075,0,CIP,11.0341695762091,6.239854593758203,16.537824766235236
0.5,0.075,0,CIP+CRO,19.904572369503345,13.243951716533362,27.50171767763631
0.5,0.075,0,CIP+CRO+NDA,19.86009781781074,13.001638798721189,27.267458111150642
0.5,0.075,0.05,CIP,10.870380497627133,6.3602110966442895,16.046958145080062
0.5,0.075,0.05,CIP+CRO,19.331913399655093,12.52074034773633,26.409411560996357
0.5,0.075,0.05,CIP+CRO+NDA,19.797626760123595,13.26690473086637,27.016307989335587
0.5,0.1,0,CIP,14.928268888895456,9.431431302029543,20.829429104878642
0.5,0.1,0,CIP+CRO,27.248049629527213,18.92506980024568,36.77437740335533
0.5,0.1,0,CIP+CRO+NDA,27.283151132935043,19.583313645841727,36.038526077236675
0.5,0.1,0.05,CIP,14.8928805066171,9.423181604881945,21.21181925496867
0.5,0.1,0.05,CIP+CRO,26.43954155780267,18.37023716158501,34.834250261836694
0.5,0.1,0.05,CIP+CRO+NDA,27.268093830017143,19.253959840791964,36.56613754439401
0.5,0.125,0,CIP,18.925024834676503,13.126308224744957,25.960154826480828
0.5,0.125,0,CIP+CRO,34.68594030315886,24.51732756563408,45.92413644190955
0.5,0.125,0,CIP+CRO+NDA,34.536636784861166,24.55075266743978,44.25335196629276
